Iterations,Seconds,Score
27494,2,41.573279
64684,3,35.474499
105837,4,32.334464
150591,5,30.431718
196725,6,29.171116
241791,7,28.158827
287733,8,26.835949
334631,9,26.346270
380939,10,25.837218
428932,11,25.466606
478125,12,25.237543
525819,13,24.434809
573958,14,24.110194
622930,15,23.786965
671658,16,23.655335
715156,17,23.448630
760741,18,23.401918
804789,19,23.283386
850853,20,23.094863
895303,21,23.014832
940823,22,22.972173
987006,23,22.784653
1033084,24,22.735456
1078421,25,22.599423
1119991,26,22.535834
1163556,27,22.479833
1205590,28,22.384456
1247955,29,22.299272
1289283,30,22.265377
1334102,31,22.220655
1375308,32,22.185749
1418231,33,22.133007
1462473,34,22.079014
1507715,35,21.945771
1551581,36,21.819872
1596187,37,21.734908
1643446,38,21.655778
1686673,39,21.647943
1731089,40,21.573301
1774122,41,21.499358
1816304,42,21.461022
1863339,43,21.390695
1911607,44,21.318390
1958549,45,21.281715
2006256,46,21.204312
2051923,47,21.152707
2098350,48,21.103571
2145603,49,21.043831
2192353,50,20.995872
2236842,51,20.926245
2282997,52,20.900521
2329046,53,20.861247
2375002,54,20.816827
2415280,55,20.759097
2456177,56,20.744540
2498961,57,20.713265
2540234,58,20.624273
2583774,59,20.585597
2626326,60,20.540000
2667496,61,20.506843
2708435,62,20.461246
2748208,63,20.437354
2788325,64,20.409702
2830666,65,20.382040
2873128,66,20.349893
2914681,67,20.312077
2957545,68,20.297392
2998571,69,20.279265
3042136,70,20.258892
3083409,71,20.249263
3127378,72,20.230551
3168024,73,20.214246
3208086,74,20.208298
3251246,75,20.170630
3295559,76,20.143951
3334697,77,20.113413
3375631,78,20.106810
3415475,79,20.092597
3459424,80,20.082600
3500554,81,20.045863
3542051,82,20.028371
3583583,83,19.992859
3626547,84,19.954616
3668623,85,19.941729
3708914,86,19.909256
3749634,87,19.882062
3788303,88,19.860844
3826137,89,19.857956
3869519,90,19.852221
3908772,91,19.851701
3950996,92,19.833139
3991896,93,19.802263
4032184,94,19.788263
4066921,95,19.779591
4100613,96,19.767528
4138003,97,19.763274
4177284,98,19.747652
4217226,99,19.720646
4255722,100,19.711925
4287945,101,19.700425
4322535,102,19.679182
4358817,103,19.677252
4395030,104,19.665730
4430973,105,19.663490
4468658,106,19.662167
4506761,107,19.653828
4549463,108,19.639340
4593526,109,19.635467
4637131,110,19.622979
4679772,111,19.619883
4718056,112,19.583460
4756920,113,19.574738
4800832,114,19.568817
4842048,115,19.568652
4882528,116,19.555167
4921760,117,19.518614
4961681,118,19.516328
5001461,119,19.484346
5040302,120,19.466637
5078085,121,19.455728
5114751,122,19.455579
5155098,123,19.437552
5195597,124,19.408338
5234441,125,19.384724
5275172,126,19.371996
5313815,127,19.361614
5352110,128,19.352097
5394114,129,19.304777
5430388,130,19.293602
5472253,131,19.264613
5510816,132,19.254636
5551367,133,19.214107
5589052,134,19.193177
5626503,135,19.193177
5664920,136,19.165217
5704143,137,19.165217
5743966,138,19.152516
5782198,139,19.133215
5820691,140,19.103698
5860737,141,19.081734
5900483,142,19.063968
5940562,143,19.062298
5975158,144,19.035913
6012341,145,19.030265
6050094,146,19.029773
6087559,147,19.028828
6125092,148,19.025361
6163275,149,19.021414
6201256,150,18.995771
6241960,151,18.987055
6282756,152,18.986694
6322943,153,18.965043
6360014,154,18.961117
6399589,155,18.923167
6438885,156,18.901775
6474526,157,18.900103
6510958,158,18.897070
6550325,159,18.897070
6589603,160,18.872097
6629257,161,18.872097
6667976,162,18.867868
6706168,163,18.849982
6747478,164,18.849881
6788863,165,18.843405
6827787,166,18.824340
6865470,167,18.824340
6901779,168,18.822251
6939257,169,18.802239
6977383,170,18.797233
7014031,171,18.795518
7052986,172,18.776945
7094383,173,18.768846
7135196,174,18.762887
7172619,175,18.756001
7209385,176,18.692915
7246374,177,18.676759
7285044,178,18.676272
7324597,179,18.674610
7364614,180,18.674610
7403288,181,18.662928
7442720,182,18.659628
7480169,183,18.659628
7518997,184,18.659006
7557406,185,18.648968
7595961,186,18.613722
7634942,187,18.593773
7673073,188,18.583489
7709201,189,18.582418
7745657,190,18.579528
7786443,191,18.571756
7824069,192,18.567447
7860010,193,18.558883
7895257,194,18.558412
7930799,195,18.541608
7973806,196,18.539924
8015308,197,18.535783
8055822,198,18.522493
8091980,199,18.520028
8134653,200,18.495574
8175727,201,18.472403
8215672,202,18.470854
8255780,203,18.449075
8297252,204,18.436058
8337911,205,18.424611
8377949,206,18.415092
8419218,207,18.402901
8458837,208,18.398209
8499292,209,18.388541
8537839,210,18.382302
8578307,211,18.379775
8615155,212,18.379775
8652523,213,18.379775
8688223,214,18.376086
8726341,215,18.363149
8766947,216,18.362200
8808110,217,18.341883
8847871,218,18.338297
8887341,219,18.328553
8926391,220,18.328553
8965578,221,18.328553
9005621,222,18.327091
9045673,223,18.324866
9087976,224,18.323896
9127049,225,18.302722
9166304,226,18.301558
9204155,227,18.282296
9241527,228,18.273901
9279906,229,18.263718
9318213,230,18.237231
9358634,231,18.213004
9398900,232,18.200112
9438782,233,18.194769
9477059,234,18.190059
9514453,235,18.189730
9553981,236,18.184729
9593831,237,18.170980
9635170,238,18.165643
9674890,239,18.148279
9715573,240,18.146846
9755549,241,18.146123
9793652,242,18.132000
9832708,243,18.130386
9871260,244,18.124207
9908925,245,18.099199
9948894,246,18.075101
9988297,247,18.073388
