Iterations,Seconds,Score
10000,0,31.975615
20000,0,28.561596
30000,0,27.154748
40000,1,26.173641
50000,1,25.431771
60000,1,25.066482
70000,1,24.643717
80000,1,24.350190
90000,1,24.031165
100000,2,23.698675
110000,2,23.501298
120000,2,23.241099
130000,2,23.072152
140000,2,22.908361
150000,2,22.740114
160000,2,22.462580
170000,3,22.259149
180000,3,22.051753
190000,3,21.880614
200000,3,21.764936
210000,3,21.702765
220000,3,21.615522
230000,3,21.556344
240000,3,21.411099
250000,4,21.263603
260000,4,21.143220
270000,4,20.965253
280000,4,20.886510
290000,4,20.834612
300000,4,20.788584
310000,4,20.747876
320000,4,20.689546
330000,4,20.644426
340000,5,20.556722
350000,5,20.516453
360000,5,20.459653
370000,5,20.422822
380000,5,20.362160
390000,5,20.339340
400000,5,20.272513
410000,5,20.246902
420000,6,20.214298
430000,6,20.180321
440000,6,20.130816
450000,6,20.071490
460000,6,20.034787
470000,6,20.021038
480000,6,19.986547
490000,6,19.952366
500000,6,19.914660
510000,6,19.886949
520000,7,19.854585
530000,7,19.828490
540000,7,19.807419
550000,7,19.735129
560000,7,19.707559
570000,7,19.678053
580000,7,19.652216
590000,7,19.621179
600000,7,19.563615
610000,8,19.517206
620000,8,19.463689
630000,8,19.403040
640000,8,19.390986
650000,8,19.332051
660000,8,19.294795
670000,8,19.280867
680000,8,19.249760
690000,8,19.228993
700000,9,19.221924
710000,9,19.165562
720000,9,19.158654
730000,9,19.139535
740000,9,19.108007
750000,9,19.136432
760000,9,19.070145
770000,9,19.043707
780000,9,19.005955
790000,9,18.969392
800000,10,18.965175
810000,10,18.947300
820000,10,18.930055
830000,10,18.904672
840000,10,18.887153
850000,10,18.841332
860000,10,18.803725
870000,10,18.779195
880000,10,18.756004
890000,10,18.726487
900000,11,18.718775
910000,11,18.665952
920000,11,18.639548
930000,11,18.629687
940000,11,18.621268
950000,11,18.610525
960000,11,18.591440
970000,11,18.557692
980000,11,18.511981
990000,11,18.464978
1000000,12,18.455175
1010000,12,18.441747
1020000,12,18.437834
1030000,12,18.437439
1040000,12,18.421376
1050000,12,18.409342
1060000,12,18.396810
1070000,12,18.367870
1080000,12,18.347871
1090000,12,18.339367
1100000,13,18.318862
1110000,13,18.306953
1120000,13,18.306953
1130000,13,18.286596
1140000,13,18.277811
1150000,13,18.277811
1160000,13,18.277209
1170000,13,18.268190
1180000,13,18.258845
1190000,13,18.247303
1200000,14,18.226612
1210000,14,18.225023
1220000,14,18.222088
1230000,14,18.191413
1240000,14,18.189560
1250000,14,18.169957
1260000,14,18.162814
1270000,14,18.146588
1280000,14,18.128349
1290000,14,18.122761
1300000,15,18.098263
1310000,15,18.089927
1320000,15,18.085201
1330000,15,18.067629
1340000,15,18.047775
1350000,15,18.017268
1360000,15,18.000063
1370000,15,17.999666
