Iterations,Seconds,Score
2990000,23,17.125519
3000000,23,17.125501
3010000,23,17.125427
3020000,23,17.125184
3030000,23,17.124707
3040000,23,17.117931
3050000,23,17.116084
3060000,23,17.106116
3070000,23,17.094249
3080000,23,17.093674
3090000,23,17.088035
3100000,24,17.078763
3110000,24,17.075282
3120000,24,17.071987
3130000,24,17.069829
3140000,24,17.067075
3150000,24,17.055182
3160000,24,17.048536
3170000,24,17.047565
3180000,24,17.039973
3190000,24,17.037158
3200000,24,17.034923
3210000,24,17.030149
3220000,24,17.030149
3230000,24,17.030149
3240000,25,17.029849
3250000,25,17.029849
3260000,25,17.027022
3270000,25,17.026968
3280000,25,17.026968
3290000,25,17.026968
3300000,25,17.026968
3310000,25,17.025705
3320000,25,17.025040
3330000,25,17.025040
3340000,25,17.020856
3350000,25,17.020856
3360000,25,17.020288
3370000,25,17.018497
3380000,26,17.013930
3390000,26,17.010877
3400000,26,17.004137
3410000,26,17.003414
3420000,26,16.998155
3430000,26,16.997929
3440000,26,16.986108
3450000,26,16.986108
3460000,26,16.986000
3470000,26,16.984664
3480000,26,16.984664
3490000,26,16.984248
3500000,26,16.982642
3510000,26,16.982213
3520000,27,16.982213
3530000,27,16.974219
3540000,27,16.957253
3550000,27,16.957253
3560000,27,16.955442
3570000,27,16.921618
3580000,27,16.921618
3590000,27,16.909688
3600000,27,16.905028
3610000,27,16.897224
3620000,27,16.897224
3630000,27,16.894140
3640000,27,16.888807
3650000,27,16.882078
3660000,27,16.879246
3670000,28,16.879246
3680000,28,16.869766
3690000,28,16.863879
3700000,28,16.855932
3710000,28,16.843226
3720000,28,16.823850
3730000,28,16.817084
3740000,28,16.817084
3750000,28,16.812254
3760000,28,16.805626
3770000,28,16.796915
3780000,28,16.792848
3790000,28,16.791587
3800000,28,16.790325
3810000,29,16.790289
3820000,29,16.789725
3830000,29,16.787824
3840000,29,16.787824
3850000,29,16.787495
3860000,29,16.787495
3870000,29,16.787495
3880000,29,16.786300
3890000,29,16.784200
3900000,29,16.784200
3910000,29,16.781767
3920000,29,16.770091
3930000,29,16.763407
3940000,30,16.760615
3950000,30,16.756259
3960000,30,16.724028
3970000,30,16.724028
3980000,30,16.724028
3990000,30,16.724028
4000000,30,16.723995
4010000,30,16.723995
4020000,30,16.722712
4030000,30,16.722419
4040000,30,16.718822
4050000,30,16.718822
4060000,30,16.718161
4070000,30,16.717572
4080000,31,16.712223
4090000,31,16.711811
4100000,31,16.711811
4110000,31,16.675349
4120000,31,16.659310
4130000,31,16.644234
4140000,31,16.640457
4150000,31,16.640457
4160000,31,16.639985
4170000,31,16.638176
4180000,31,16.637988
4190000,31,16.637988
4200000,31,16.634051
4210000,32,16.631669
4220000,32,16.631669
4230000,32,16.630335
4240000,32,16.629777
4250000,32,16.629777
4260000,32,16.629777
4270000,32,16.629777
4280000,32,16.622462
4290000,32,16.622462
4300000,32,16.622462
4310000,32,16.618717
4320000,32,16.618226
4330000,32,16.618195
4340000,32,16.615433
4350000,33,16.615433
4360000,33,16.615433
4370000,33,16.615433
4380000,33,16.614998
4390000,33,16.614947
4400000,33,16.611387
4410000,33,16.608603
4420000,33,16.608603
4430000,33,16.608603
4440000,33,16.605771
4450000,33,16.605435
4460000,33,16.605435
4470000,33,16.605435
4480000,34,16.605435
4490000,34,16.605435
4500000,34,16.605435
4510000,34,16.604486
4520000,34,16.602557
4530000,34,16.602557
4540000,34,16.598232
4550000,34,16.598232
4560000,34,16.598232
4570000,34,16.598232
4580000,34,16.598232
4590000,34,16.598232
4600000,34,16.593772
4610000,34,16.593772
4620000,35,16.586690
4630000,35,16.586690
4640000,35,16.585465
4650000,35,16.582660
4660000,35,16.582660
4670000,35,16.570073
4680000,35,16.570073
4690000,35,16.570073
4700000,35,16.570073
4710000,35,16.570073
4720000,35,16.567494
4730000,35,16.566787
4740000,35,16.566449
4750000,35,16.565896
4760000,36,16.565846
4770000,36,16.563509
4780000,36,16.562102
4790000,36,16.562102
4800000,36,16.562102
4810000,36,16.561334
4820000,36,16.561334
4830000,36,16.561334
4840000,36,16.561334
4850000,36,16.559868
4860000,36,16.558994
4870000,36,16.558994
4880000,36,16.558994
4890000,36,16.558994
4900000,37,16.557454
4910000,37,16.556022
4920000,37,16.556022
4930000,37,16.556022
4940000,37,16.556022
4950000,37,16.550618
4960000,37,16.550618
4970000,37,16.548961
4980000,37,16.548961
4990000,37,16.548961
5000000,37,16.548961
5010000,37,16.548961
5020000,37,16.548961
5030000,37,16.548961
5040000,38,16.548937
5050000,38,16.546166
5060000,38,16.542760
5070000,38,16.530063
5080000,38,16.529323
5090000,38,16.525076
5100000,38,16.525076
5110000,38,16.524414
5120000,38,16.523713
5130000,38,16.523713
5140000,38,16.523713
5150000,38,16.523713
5160000,38,16.523713
5170000,38,16.523109
5180000,38,16.514121
5190000,39,16.514121
5200000,39,16.514121
5210000,39,16.514121
5220000,39,16.514121
5230000,39,16.514121
5240000,39,16.514121
5250000,39,16.514121
5260000,39,16.514121
5270000,39,16.511072
5280000,39,16.507611
5290000,39,16.507611
5300000,39,16.507611
5310000,39,16.507611
5320000,39,16.507611
5330000,40,16.506949
5340000,40,16.506369
5350000,40,16.505623
5360000,40,16.502590
5370000,40,16.501845
5380000,40,16.500034
5390000,40,16.499601
5400000,40,16.499601
5410000,40,16.497665
5420000,40,16.495644
5430000,40,16.495644
5440000,40,16.495644
5450000,40,16.492512
5460000,40,16.492512
5470000,41,16.492512
5480000,41,16.492306
5490000,41,16.489685
5500000,41,16.489651
5510000,41,16.489378
5520000,41,16.488960
5530000,41,16.488960
5540000,41,16.488960
5550000,41,16.488960
5560000,41,16.479661
5570000,41,16.479661
5580000,41,16.479661
5590000,41,16.479661
5600000,41,16.479661
5610000,42,16.479661
5620000,42,16.479403
5630000,42,16.479403
5640000,42,16.478013
5650000,42,16.474131
5660000,42,16.456223
5670000,42,16.445315
5680000,42,16.438886
5690000,42,16.437549
5700000,42,16.437057
5710000,42,16.437057
5720000,42,16.433457
5730000,42,16.421443
5740000,42,16.421443
5750000,43,16.417479
5760000,43,16.417479
5770000,43,16.417479
5780000,43,16.417479
5790000,43,16.412480
5800000,43,16.410387
