Iterations,Seconds,Score
10000,0,31.389954
20000,1,29.157772
30000,1,27.675589
40000,1,26.787251
50000,2,26.154105
60000,2,25.581225
70000,2,25.224445
80000,2,24.855399
90000,3,24.471736
100000,3,24.227962
110000,3,23.871844
120000,3,23.536450
130000,3,23.309288
140000,4,23.166780
150000,4,23.066637
160000,4,22.830144
170000,4,22.706850
180000,5,22.489772
190000,5,22.307188
200000,5,22.166738
210000,5,21.852229
220000,6,21.653577
230000,6,21.592033
240000,6,21.493276
250000,6,21.417009
260000,7,21.199346
270000,7,21.121476
280000,7,21.045350
290000,7,21.025849
300000,8,20.857016
310000,8,20.785557
320000,8,20.727554
330000,8,20.687932
340000,9,20.595171
350000,9,20.551489
360000,9,20.500699
370000,9,20.475184
380000,9,20.440728
390000,10,20.397735
400000,10,20.372224
410000,10,20.316997
420000,10,20.291635
430000,10,20.215786
440000,11,20.206095
450000,11,20.180175
460000,11,20.152510
470000,11,20.123384
480000,11,20.102926
490000,12,20.048025
500000,12,20.024998
510000,12,19.996420
520000,12,19.930522
530000,12,19.884946
540000,13,19.858771
550000,13,19.849722
560000,13,19.803242
570000,13,19.766982
580000,13,19.745599
590000,14,19.728609
600000,14,19.662834
610000,14,19.641505
620000,14,19.615198
630000,14,19.570787
640000,15,19.557609
650000,15,19.467910
660000,15,19.441227
670000,15,19.401862
680000,15,19.386262
690000,16,19.335443
700000,16,19.321092
710000,16,19.314624
720000,16,19.291496
730000,16,19.235423
740000,17,19.214156
750000,17,19.196185
760000,17,19.165560
770000,17,19.156284
780000,17,19.140876
790000,17,19.128163
800000,18,19.122564
810000,18,19.091296
820000,18,19.085582
830000,18,19.075813
840000,18,19.063487
850000,19,19.052745
860000,19,19.040417
870000,19,19.019513
880000,19,19.002046
890000,19,18.969484
900000,19,18.966563
910000,20,18.940067
920000,20,18.930847
930000,20,18.885374
940000,20,18.875329
950000,20,18.860790
960000,20,18.849854
970000,20,18.832119
980000,21,18.797921
990000,21,18.788847
1000000,21,18.787312
1010000,21,18.766494
1020000,21,18.739376
1030000,21,18.727272
1040000,22,18.715195
1050000,22,18.707118
1060000,22,18.697804
1070000,22,18.677312
1080000,22,18.657719
1090000,22,18.655272
1100000,22,18.647728
1110000,23,18.640674
1120000,23,18.628179
1130000,23,18.623534
1140000,23,18.608027
1150000,23,18.594571
1160000,23,18.592122
1170000,24,18.588546
1180000,24,18.569448
1190000,24,18.563339
1200000,24,18.557031
1210000,24,18.547990
1220000,24,18.543558
1230000,24,18.530807
1240000,25,18.530296
1250000,25,18.520689
1260000,25,18.520104
1270000,25,18.495523
1280000,25,18.468893
1290000,25,18.467002
1300000,25,18.463810
1310000,26,18.452830
1320000,26,18.449425
